url,label,kategori
https://composerprogrammer.com/introductiontocomputermusic.pdf,safe,Live Safe (Tech News)
https://jaso1024.com/mvidia/,safe,Live Safe (Tech News)
https://github.com/siddharthvaddem/openscreen,safe,Live Safe (Tech News)
https://taggart-tech.com/reckoning/,safe,Live Safe (Tech News)
https://jonno.nz/posts/what-if-your-browser-built-the-ui-for-you/,safe,Live Safe (Tech News)
https://gist.github.com/karpathy/442a6bf555914893e9891c11519de94f,safe,Live Safe (Tech News)
https://twitter.com/VladTheInflator/status/2039577001531768906,safe,Live Safe (Tech News)
https://blog.djhaskin.com/blog/writing-lisp-is-ai-resistant-and-im-sad/,safe,Live Safe (Tech News)
https://teybannerman.com/strategy/2026/03/31/how-many-microsoft-copilot-are-there.html,safe,Live Safe (Tech News)
https://www.phoronix.com/news/Linux-7.0-AWS-PostgreSQL-Drop,safe,Live Safe (Tech News)
https://www.science.org/doi/10.1126/sciadv.aef5697,safe,Live Safe (Tech News)
https://github.com/KaiPereira/Overglade-Badges,safe,Live Safe (Tech News)
https://contrapunk.com/,safe,Live Safe (Tech News)
https://jxnl.co/writing/2024/06/01/advice-to-young-people/,safe,Live Safe (Tech News)
https://sllm.cloud,safe,Live Safe (Tech News)
https://ruckus.defn.io/,safe,Live Safe (Tech News)
https://iii.social,safe,Live Safe (Tech News)
https://magazine.sebastianraschka.com/p/components-of-a-coding-agent,safe,Live Safe (Tech News)
https://github.com/teamchong/turboquant-wasm,safe,Live Safe (Tech News)
https://github.com/squadette/rubysyn/blob/master/README.md,safe,Live Safe (Tech News)
https://detawk.com/,safe,Live Safe (Tech News)
https://www.theverge.com/tech/907003/apple-approves-driver-that-lets-nvidia-egpus-work-with-arm-macs,safe,Live Safe (Tech News)
https://static.laszlokorte.de/escher/,safe,Live Safe (Tech News)
https://www.anthropic.com/research/emotion-concepts-function,safe,Live Safe (Tech News)
https://imbue.com/product/mngr_part_2/,safe,Live Safe (Tech News)
https://www.bloomberg.com/features/2025-bottlenecks-transformers/,safe,Live Safe (Tech News)
https://imapenguin.com/2026/03/breaking-enigma-with-index-of-coincidence-on-a-commodore-64/,safe,Live Safe (Tech News)
https://yadin.com/notes/vr-disrupts/,safe,Live Safe (Tech News)
https://next.jazzsequence.com/posts/the-cms-is-dead-long-live-the-cms,safe,Live Safe (Tech News)
https://arxiv.org/abs/2604.01193,safe,Live Safe (Tech News)
https://dpd.parcelstahdu.bond/com/,phishing,Typosquatting
https://dpd.parcelstahoy.bond/uk/,phishing,Typosquatting
https://dpd.parcelstahou.bond/uk/,phishing,Typosquatting
https://dpd.parcelstahot.bond/uk/,phishing,Typosquatting
https://dpd.parcelstahoi.bond/uk/,phishing,Typosquatting
https://dpd.parcelstahop.bond/uk/,phishing,Typosquatting
https://cashenta.com/Yy7bGR,phishing,Typosquatting
https://www.robiox.com.py/users/381961239698/profile,phishing,Typosquatting
http://p3bvt5dt5ra3gu.my.id/,phishing,Mixed Content
https://trust-blockfi.webflow.io/,phishing,Typosquatting
http://aktydnapyltr-idx.mmexe.my.id/,phishing,Mixed Content
https://netflix-clone-mu-seven.vercel.app/,phishing,Typosquatting
http://www.netflix-clone-mu-seven.vercel.app/,phishing,Mixed Content
https://www.robiox.com.ps/games/920587237/Adopt-Me?privateServerLinkCode=41319586290522207122079569408427,phishing,Typosquatting
https://dpd.parcelroutepoint.cfd/com/,phishing,Typosquatting
https://dpd.parcelfollowhub.cfd/com/,phishing,Typosquatting
https://dpd.parcelroutenotice.cfd/com/,phishing,Typosquatting
https://dpd.parcelsignalpoint.cfd/com/,phishing,Typosquatting
http://bitfghurt-login.webflow.io/,phishing,Mixed Content
https://coinbase.aw-windblocker.com/,phishing,Typosquatting
https://coinbase.hrbwya.com/,phishing,Typosquatting
http://undian-whatsapp58.blogspot.com/,phishing,Mixed Content
http://www.undian-whatsapp58.blogspot.com/,phishing,Mixed Content
http://www.instagram-clone-sabitalizade.vercel.app/,phishing,Mixed Content
http://www.mitrafreelancerjob.online/,phishing,Suspicious TLDs
https://dpd.parcelstakvl.bond/uk/,phishing,Typosquatting
https://dpd.parcelstakzu.bond/uk/,phishing,Typosquatting
https://dpd.parcelstakzy.bond/uk/,phishing,Typosquatting
https://dpd.parcelstakzp.bond/uk/,phishing,Typosquatting
https://dpd.tracess-pep.icu/com/,phishing,Suspicious TLDs
http://netflix-clone-alpha-nine.vercel.app/,phishing,Mixed Content
https://ntflx-reabonnieren.com/net/update.php,phishing,Credential Harvesting
